"Id","region","mortality_rate","O3","PM10","PM25","NO2","T2M"
11410,"West Midlands",1.347,70.148,12.886,8.407,5.575,281.722
17201,"Yorkshire and The Humber",1.768,51.256,10.108,6.281,8.174,276.901
12514,"South East",1.236,70.072,23.157,13.242,11.792,281.515
13007,"South West",1.235,43.584,16.151,2.564,3.732,291.043
7298,"North West",1.961,31.709,11.26,5.821,15.669,274.079
8165,"West Midlands",1.031,48.301,11.068,4.523,8.661,283.941
13246,"North East",1.155,69.247,11.451,7.123,3.009,283.162
8222,"West Midlands",1.357,35.389,5.796,2.338,5.86,289.118
9847,"South West",1.76,35.915,7.69,4.094,6.549,274.948
15216,"East of England",1.177,41.945,11.21,5.282,7.528,287.893
9911,"North East",1.701,24.231,20.019,14.21,21.92,276.388
10509,"North West",1.225,34.801,9.985,5.186,11.891,281.041
18137,"West Midlands",1.134,42.929,11.562,7.493,7.509,288.837
7237,"North West",1.317,20.958,20.488,7.752,24.652,285.239
11129,"East Midlands",1.154,61.373,21.736,9.87,8.365,293.173
13287,"North East",1.464,66.341,5.818,2.84,2.285,283.482
8965,"London",0.831,32.154,7.352,3.952,11.404,288.359
14956,"West Midlands",1.426,47.506,13.763,6.045,4.965,282.156
15471,"London",0.817,57.467,13.074,6.612,17.08,287.937
15336,"London",1.255,6.996,18.52,11.327,49.99,275.643
18340,"East of England",1.253,57.601,17.375,14.031,9.273,280.92
15117,"East of England",1.109,49.265,12.536,5.615,9.298,287.832
9133,"South East",2.073,6.114,23.353,12.811,38.068,274.016
9938,"North East",1.585,40.885,19.697,10.112,16.19,281.325
11787,"East of England",1.257,55.181,24.716,13.74,14.349,281.438
16648,"North East",1.076,51.007,10.062,7.674,5.419,289.052
7921,"East Midlands",1.185,42.219,12.6,3.28,9.727,285.96
8027,"East Midlands",1.722,16.518,11.388,7.333,20.472,273.982
7650,"Yorkshire and The Humber",1.455,35.266,8.63,4.079,12.252,277.257
12019,"East of England",1.326,27.284,14.807,7.754,19.63,272.687
11600,"West Midlands",1.132,34.894,25.038,14.561,23.961,281.774
18402,"East of England",0.914,93.455,20.009,15.675,8.701,290.413
12984,"South West",0.969,49.202,14.267,2.869,3.687,289.704
16705,"North East",1.114,44.664,4.999,2.941,4.988,281.451
9521,"South West",1.626,24.737,32.661,10.924,9.704,279.013
17276,"Yorkshire and The Humber",1.147,74.767,7.241,3.169,3.975,279.704
11466,"West Midlands",1.078,63.878,15.607,10.835,10.394,287.02
7247,"North West",1.431,28.201,11.87,7.165,13.362,279.071
8208,"West Midlands",1.122,61.062,14.334,8.301,6.449,291.123
11560,"West Midlands",0.88,48.444,29.246,20.724,20.123,287.882
15042,"East of England",1.126,44.486,16.674,8.578,12.42,278.284
13495,"North East",1.579,40.93,9.73,4.623,5.89,280.235
9068,"London",0.957,19.58,8.45,4.622,22.502,281.121
11745,"East of England",1.429,60.768,15.52,7.83,7.2,275.892
15099,"East of England",0.972,71.084,6.754,3.469,5.123,284.644
14701,"West Midlands",1.123,64.717,14.507,11.096,6.532,282.794
7694,"East Midlands",1.968,12.674,26.338,11.784,29.011,276.854
11691,"East of England",1.705,31.693,23.189,9.351,16.969,274.096
15474,"London",0.634,48.706,16.249,4.362,14.559,286.534
8116,"West Midlands",1.321,54.651,9.174,2.58,4.852,278.06
14283,"East Midlands",1.212,27.844,29.841,24.583,20.481,277.518
16983,"North West",1.186,44.524,6.075,4.237,6.511,285.793
14121,"Yorkshire and The Humber",1.267,39.209,6.306,3.328,6.363,286.076
7262,"North West",1.446,55.93,7.083,2.481,3.838,281.267
18236,"West Midlands",1.258,11.274,19.113,16.444,29.425,270.318
11793,"East of England",1.24,60.785,24.019,15.446,17.34,281.865
7591,"Yorkshire and The Humber",1.283,27.017,12.796,9.2,21.79,281.786
11669,"West Midlands",1.922,6.831,38.397,13.538,41.807,265.562
9945,"North East",1.044,61.379,6.627,2.032,5.497,275.722
11506,"West Midlands",1.078,38.884,13.616,3.286,5.234,293.551
7175,"North West",1.217,44.004,6.873,2.372,2.741,285.375
7983,"East Midlands",1.498,52.404,7.786,2.588,5.783,283.558
11469,"West Midlands",1.33,75.479,21.176,16.822,12.866,290.1
10206,"North East",1.971,48.609,6.008,2.029,7.542,268.42
14610,"West Midlands",1.694,51.511,8.131,3.61,7.873,277.709
11171,"East Midlands",1.398,43.715,11.688,6.394,7.705,290.651
18269,"East of England",1.287,19.219,19.226,14.108,22.174,274.005
11655,"West Midlands",1.563,13.923,23.409,13.955,35.982,266.564
11146,"East Midlands",0.954,55.106,8.875,4.135,4.356,289.743
11924,"East of England",0.913,49.048,18.847,12.733,12.636,287.41
17363,"Yorkshire and The Humber",1.373,43.639,9.515,7.123,8.845,292.375
6690,"North East",1.67,44.806,11.713,5.243,11.06,283.494
8280,"West Midlands",1.158,38.762,8.341,2.998,6.716,289.459
15300,"East of England",1.296,42.141,9.33,5.579,11.679,281.507
14148,"Yorkshire and The Humber",1.154,48.986,8.408,4.162,5.365,288.304
8346,"West Midlands",1.339,35.977,8.294,3.208,8.957,282.428
7060,"North West",1.245,62.886,6.914,1.584,3.654,283.588
11109,"East Midlands",1.087,40.446,10.486,6.885,13.046,286.126
15162,"East of England",1.023,45.379,7.802,4.803,6.216,288.238
17399,"Yorkshire and The Humber",1.166,41.676,6.84,4.385,11.232,286.761
17600,"East Midlands",1.117,55.268,14.229,10.948,13.385,281.326
17861,"East Midlands",1.467,39.207,8.028,4.788,17.029,278.487
18186,"West Midlands",1.294,9.239,26.859,20.042,25.733,285.59
17168,"Yorkshire and The Humber",1.618,44.428,5.879,4.328,10.586,282.521
14982,"East of England",1.313,34.851,9.736,7.905,15.346,279.803
15256,"East of England",1.041,51.128,6.64,3.23,5.508,282.721
9341,"South East",1.131,39.153,13.086,3.611,9.828,291.687
10201,"North East",1.469,44.099,12.293,3.548,5.398,272.984
14457,"East Midlands",0.86,41.915,8.432,4.423,6.628,287.606
7182,"North West",1.217,50.898,5.446,1.774,2.573,285.519
18388,"East of England",1.1,69.667,7.97,5.681,6.998,282.646
11609,"West Midlands",1.204,43.556,8.813,4.108,9.101,280.183
12859,"South West",1.635,64.666,14.574,7.836,6.836,281.923
9761,"South West",1.703,34.362,10.286,2.561,8.291,287.788
7652,"Yorkshire and The Humber",1.512,47.144,7.68,3.277,7.857,271.649
10307,"North West",1.439,63.359,10.837,3.314,5.253,279.305
11763,"East of England",1.395,31.399,34.457,21.685,28.058,283.172
9118,"London",1.246,13.099,13.047,6.483,29.019,275.213
8705,"East of England",1.374,20.736,12.15,6.231,16.834,281.819
12832,"South West",1.616,57.921,9.046,3.741,5.621,278.945
14157,"Yorkshire and The Humber",0.794,24.193,17.172,13.784,19.516,285.188
16934,"North West",1.426,71.029,16.576,13.342,8.268,287.846
10613,"Yorkshire and The Humber",1.408,48.454,10.463,2.931,7.416,276.632
17913,"West Midlands",1.223,36.039,6.143,3.807,12.191,280.022
7462,"Yorkshire and The Humber",1.321,62.47,8.082,3.757,5.791,284.42
6583,"North East",1.825,27.154,6.082,2.925,6.019,276.183
13546,"North West",1.332,47.057,9.648,7.811,13.111,279.421
12961,"South West",1.102,57.57,14.018,2.421,3.302,289.013
18036,"West Midlands",1.01,95.749,15.276,11.88,7.067,291.965
17646,"East Midlands",0.985,70.074,18.19,14.074,10.52,283.79
16059,"South East",1.572,44.296,11.105,5.213,9.955,279.902
8259,"West Midlands",1.14,38.679,11.215,2.485,5.287,289.779
16484,"North East",1.652,56.117,9.507,6.703,4.078,283.307
13033,"South West",1.007,60.073,13.709,4.02,3.841,287.4
9238,"South East",0.93,47.289,22.064,10.062,17.546,284.299
14021,"Yorkshire and The Humber",1.248,57.154,7.644,3.549,4.895,283.728
7783,"East Midlands",1.275,45.12,11.473,6.307,14.137,280.828
11180,"East Midlands",0.887,37.484,13.166,8.428,10.341,287.382
13816,"North West",1.502,31.72,14.662,9.764,15.222,278.532
12636,"South East",1.177,44.011,11.356,7.769,12.615,288.075
10873,"Yorkshire and The Humber",1.56,35.37,12.662,8.271,13.743,282.546
17830,"East Midlands",1.226,44.86,5.947,3.445,10.973,278.441
12778,"South West",1.825,30.292,13.299,6.898,12.377,274.756
15421,"London",0.683,46.104,17.577,11.915,18.007,286.829
6717,"North East",1.475,52.459,4.671,1.317,2.627,283.934
10943,"Yorkshire and The Humber",2.093,35.774,8.938,4.354,11.394,270.677
11614,"West Midlands",1.042,47.013,11.323,4.721,9.833,283.164
17316,"Yorkshire and The Humber",1.317,43.256,8.253,6.561,14.078,285.263
8731,"East of England",1.321,31.186,10.472,5.067,11.356,281.167
8550,"East of England",1.078,70.705,10.396,4.243,4.89,285.208
10221,"North West",1.866,38.092,9.904,5.121,12.555,271.811
6817,"North East",1.243,48.467,2.375,0.904,2.613,284.831
7528,"Yorkshire and The Humber",1.244,40.647,9.265,2.404,6.55,289.05
11450,"West Midlands",1.276,56.351,13.999,7.093,8.124,282.53
11259,"East Midlands",1.353,44.809,10.743,4.163,13.533,284.284
7086,"North West",1.202,74.475,13.801,8.281,8.631,288.879
11145,"East Midlands",1.22,42.061,12.001,6.293,9.378,290.986
18321,"East of England",1.27,43.44,18.11,13.617,14.676,278.444
9412,"South East",1.154,20.398,22.104,11.133,27.295,284.885
7486,"Yorkshire and The Humber",1.264,44.983,11.283,5.45,6.674,289.663
12633,"South East",1.108,38.045,11.26,6.257,11.053,289.632
11603,"West Midlands",1.042,27.928,17.882,11.494,21.056,282.861
9196,"South East",1.237,44.779,11.729,2.815,11.993,282.929
14462,"East Midlands",0.97,44.685,9.758,5.25,6.486,288.13
11131,"East Midlands",1.242,52.621,15.073,10.41,11.729,292.65
6920,"North East",1.631,44.615,6.304,1.565,3.857,277.44
16425,"South West",1.396,57.287,8.952,4.072,2.748,284.393
17432,"Yorkshire and The Humber",1.034,44.955,9.436,5.017,10.306,284.549
6896,"North East",1.01,55.107,7.946,2.556,2.689,280.599
8668,"East of England",0.991,25.015,11.687,4.65,15.147,288.654
17477,"Yorkshire and The Humber",1.129,10.954,26.297,22.929,35.872,280.249
10214,"North East",1.778,42.555,8.348,4.244,4.69,270.366
8466,"East of England",1.495,42.989,11.995,3.506,14.643,283.067
16621,"North East",1.114,49.709,5.812,3.538,3.483,285.181
16684,"North East",1.076,56.685,9.976,6.592,2.255,285.934
16875,"North West",1.496,32.045,46.206,41.337,24.296,283.434
15459,"London",0.622,61.265,19.499,7.993,16.642,287.967
15210,"East of England",0.955,51.837,20.602,13.535,14.388,291.433
7210,"North West",1.102,39.082,6.193,1.826,5.651,284.355
10291,"North West",1.481,50.993,14.051,3.936,8.158,278.102
7675,"East Midlands",1.811,8.193,25.135,15.694,37.976,272.191
12491,"South East",1.329,56.927,17.792,10.358,12.392,281.272
16638,"North East",1.537,49.357,6.45,4.895,7.282,285.821
12669,"South East",1.236,39.384,11.73,5.34,10.271,286.485
8675,"East of England",0.991,47.081,5.061,1.933,6.029,286.042
12704,"South East",1.259,30.142,13.153,7.341,19.152,279.799
12816,"South West",1.426,41.846,13.766,6.854,13.474,274.769
16010,"South East",1.179,17.134,21.827,19.003,21.107,285.656
8992,"London",0.818,35.282,16.229,6.291,19.828,292.575
16132,"South West",1.264,66.574,7.503,5.905,5.413,279.515
15068,"East of England",1.262,52.434,13.673,7.136,12.879,280.616
17937,"West Midlands",1.489,55.911,7.54,4.667,6.6,281.554
14820,"West Midlands",0.963,44.429,6.365,2.86,3.522,286.931
11848,"East of England",1.464,66.49,12.467,5.137,4.18,286.908
18243,"West Midlands",1.436,18.954,11.538,9.899,28.559,277.701
10962,"East Midlands",1.753,26.771,26.708,18.561,20.936,273.731
11760,"East of England",1.291,55.091,14.526,8.969,10.161,281.585
8629,"East of England",1.061,39.855,10.781,4.088,10.104,289.509
7107,"North West",1.26,52.53,7.623,2.535,4.721,286.592
9471,"South East",1.072,24.514,11.569,5.474,16.83,278.698
16305,"South West",1.207,58.106,21.067,13.535,8.009,289.929
11955,"East of England",1.223,32.059,12.176,6.477,15.302,286.618
13013,"South West",1.273,38.456,8.772,2.738,8.118,289.357
13556,"North West",1.247,25.785,27.531,15.913,18.48,277.2
11435,"West Midlands",1.186,60.778,14.004,4.628,5.607,282.8
7777,"East Midlands",1.252,43.699,18.388,6.659,14.603,283.888
17966,"West Midlands",1.365,62.528,9.557,6.642,9.091,281.068
7563,"Yorkshire and The Humber",1.378,46.482,9.395,4.298,9.273,284.799
17203,"Yorkshire and The Humber",1.298,61.931,8.906,5.141,6.834,279.67
13602,"North West",1.049,76.001,12.076,6.802,4.856,282.795
7982,"East Midlands",1.342,32.608,8.56,2.762,12.801,282.991
8193,"West Midlands",1.067,52.551,10.529,5.282,8.371,286.169
9357,"South East",0.942,44.432,15.57,5,10.653,291.689
12684,"South East",1.131,47.127,9.208,2.722,9.068,287.079
8853,"London",0.907,27.126,49.799,22.422,37,283.294
9001,"London",0.755,33.625,10.96,4.48,15.954,288.076
16839,"North West",1.637,56.925,7.833,4.411,7.549,280.214
13607,"North West",1.375,76.176,11.911,4.315,3.791,280.541
10583,"North West",2.322,15.3,22.232,8.973,31.189,277.207
10797,"Yorkshire and The Humber",1.275,36.615,11.288,3.758,7.919,288.582
9078,"London",1.007,47.857,9.105,3.521,10.212,284.463
15950,"South East",1.005,56.833,13.553,5.268,3.368,289.715
15266,"East of England",0.989,18.549,17.741,13.699,26.072,283.857
9555,"South West",1.856,42.175,10.855,4.243,11.568,278.749
18045,"West Midlands",1.028,55.064,7.416,5.391,8.579,283.143
13048,"South West",1.178,43.497,12.382,2.63,7.721,285.628
18250,"West Midlands",1.684,55.714,5.185,2.756,4.785,278.923
9282,"South East",1.142,63.341,17.732,9.864,11.549,285.798
14648,"West Midlands",1.302,23.487,27.868,22.927,26.816,277.158
14155,"Yorkshire and The Humber",1.21,33.276,5.287,4.326,12.842,284.636
16347,"South West",1.415,34.287,18.031,14.088,13.134,286.884
15370,"London",0.707,29.739,25.366,17.372,29.504,280.961
17880,"East Midlands",1.467,35.735,4.968,3.809,17.734,281.847
13424,"North East",1.618,53.928,5.079,2.98,2.981,284.214
9958,"North East",1.585,73.555,17.422,5.561,3.855,278.858
8157,"West Midlands",1.212,65.988,7.933,2.159,2.954,284.42
14526,"East Midlands",1.058,48.291,8.219,3.821,5.985,281.519
11181,"East Midlands",1.109,41.239,11.691,5.864,8.923,288.92
11534,"West Midlands",1.042,41.834,12.188,2.766,5.125,289.39
7672,"East Midlands",1.99,9.185,18.621,11.998,31.555,274.626
17137,"North West",1.27,25.08,11.712,8.243,22.842,271.759
6759,"North East",0.932,42.795,9.156,2.866,2.618,286.78
15089,"East of England",1.279,76.347,9.435,6.126,6.236,282.717
14003,"Yorkshire and The Humber",1.154,65.444,9.321,5.092,6.457,282.791
16250,"South West",1.132,59.016,10.368,4.16,2.596,288.259
7264,"North West",1.474,50.335,8.023,2.251,3.834,280.096
8171,"West Midlands",1.085,64.629,9.979,3.047,4.739,284.297
6598,"North East",1.786,24.404,8.733,4.27,8.41,276.75
7014,"North West",1.131,26.134,26.371,15.565,18.923,279.009
16761,"North East",1.307,45.764,5.439,3.375,6.879,273.967
11498,"West Midlands",1.24,60.238,11.204,3.507,5.397,291.429
17856,"East Midlands",1.007,45.002,6.481,4.042,12.167,277.986
10500,"North West",1.296,37.833,14.409,7.66,14.409,285.547
16714,"North East",1.114,37.523,5.168,3.547,7.214,277.766
17919,"West Midlands",1.347,23.336,23.362,19.608,24.276,272.767
12848,"South West",1.14,64.292,14.215,7.717,6.39,279.778
14076,"Yorkshire and The Humber",1.116,45.698,10.962,6.09,6.729,287.341
7116,"North West",1.532,64.063,21.246,11.048,9,292.132
8844,"London",0.881,56.433,9.153,4.31,14.507,281.209
14417,"East Midlands",0.771,50.489,8.944,4.688,8.395,287.323
8562,"East of England",1.495,57.661,12.77,6.697,6.875,288.732
9965,"North East",1.508,69.74,9.206,2.241,3.53,278.843
16089,"South West",1.471,40.955,19.609,14.03,12.294,273.461
11500,"West Midlands",0.934,52.658,15.124,4.293,3.811,289.574
9014,"London",0.642,38.283,13.43,4.91,21.082,288.321
9137,"South East",1.873,46.56,18.247,5.288,6.024,281.768
10602,"Yorkshire and The Humber",1.865,36.861,13.256,5.12,15.47,276.906
17731,"East Midlands",1.117,78.403,19.922,14.99,7.578,291.462
10416,"North West",1.14,48.399,7.563,2.998,6.168,288.036
17604,"East Midlands",1.226,48.68,19.129,14.032,17.171,281.253
6961,"North West",1.932,22.665,17.097,10.62,18.297,276.404
7282,"North West",1.847,33.376,11.099,5.075,13.994,274.851
17259,"Yorkshire and The Humber",1.618,59.575,6.301,4.631,10.192,279.575
17769,"East Midlands",0.876,41.63,8.915,5.254,8.874,289.406
14238,"East Midlands",2.116,23.587,18.65,12.246,28.085,270.946
7880,"East Midlands",0.917,42.059,9.843,4.482,8.914,289.775
18343,"East of England",1.49,43.646,32.296,26.831,20.751,283.331
7038,"North West",1.446,46.605,23.457,14.109,15.867,282.446
16165,"South West",1.566,59.712,18.241,14.705,7.63,283.27
14722,"West Midlands",0.998,87.53,11.123,6.125,4.318,283.856
15303,"East of England",1.228,50.022,9.142,4.165,6.632,279.2
14071,"Yorkshire and The Humber",1.248,41.656,10.643,7.044,7.533,287.003
13490,"North East",1.232,33.634,6.281,3.84,5.839,274.142
12155,"London",0.744,58.072,23.972,13.451,19.191,282.14
7192,"North West",1.374,45.957,7.957,3.918,8.689,285.43
8724,"East of England",1.391,53.822,7.534,2.829,8.005,282.614
8873,"London",0.831,38.55,22.604,10.721,30.726,284.894
17678,"East Midlands",0.898,69.026,4.25,3.185,4.784,281.198
13434,"North East",1.155,57.192,8.729,3.539,2.788,284.123
8917,"London",0.806,59.21,15.838,7.803,18.012,285.588
13442,"North East",1.078,50.436,8.752,5.461,6.782,282.758
13628,"North West",1.247,77.317,11.097,5.89,5.749,282.352
9654,"South West",1.339,50.806,11.085,2.544,3.763,288.01
7181,"North West",1.417,42.881,4.009,1.693,3.772,285.216
15655,"London",0.902,7.595,36.732,29.823,37.299,281.061
12498,"South East",1.177,48.845,14.303,9.865,12.917,282.348
10657,"Yorkshire and The Humber",1.484,54.927,12.401,4.896,7.197,278.626
10179,"North East",1.005,27.597,12.475,5.316,11.503,278.324
17139,"North West",1.51,14.344,22.993,22.713,34.045,270.863
7054,"North West",1.26,59.226,11.894,7.648,11.441,282.509
8816,"London",0.919,14.802,24.861,9.587,37.67,281.335
13749,"North West",1.077,39.101,15.671,10.228,14.299,287.591
15852,"South East",0.971,53.816,14.968,9.264,11.05,286.414
15752,"South East",1.445,64.024,7.319,4.04,7.053,281.394
17388,"Yorkshire and The Humber",1.335,47.126,8.242,5.758,8.948,292.116
12199,"London",0.744,57.418,21.07,14.69,29.722,288.603
6940,"North West",2.076,27.768,9.429,5.379,16.148,273.409
9276,"South East",1.225,79.573,17.127,8.106,12.459,290.45
15498,"London",0.67,39.819,10.718,5.611,19.269,285.725
11153,"East Midlands",1.087,39.151,12.514,6.504,9.179,288.236
11318,"West Midlands",1.689,19.163,13.911,8.051,19.562,271.275
14827,"West Midlands",0.963,48.251,8.512,4.719,3.516,287.027
16918,"North West",1.242,65.462,9.71,7.193,10.565,278.902
13399,"North East",1.232,43.671,10.723,7.056,10.392,284.385
15100,"East of England",0.989,69.611,11.229,6.674,4.448,284.871
13505,"North East",1.502,56.337,5.581,2.365,2.486,282.053
16965,"North West",1.285,69.894,4.015,2.793,4.804,284.718
9557,"South West",1.091,65.788,11.457,3.178,2.481,279.43
7897,"East Midlands",0.939,44.157,13.842,2.958,7.644,291.946
14641,"West Midlands",1.444,38.37,14.27,10.639,18.921,281.473
